date,realized_pnl,unrealized_pnl,total_pnl,position,spread,z_score
2023-08-09,119110.40344238281,467076.8737792969,586187.2772216797,-1,-8.962982177734375,-0.4155459767913787
2023-08-10,119110.40344238281,501084.89990234375,620195.3033447266,-1,-9.643142700195312,-0.5645644647659549
2023-08-11,119110.40344238281,500048.0651855469,619158.4686279297,-1,-9.622406005859375,-0.5656659188327618
2023-08-14,119110.40344238281,520074.462890625,639184.8663330078,-1,-10.022933959960938,-0.6417473576566083
2023-08-15,119110.40344238281,452111.81640625,571222.2198486328,-1,-8.663681030273438,-0.38010361898502953
2023-08-16,494851.57165527344,0.0,494851.57165527344,0,-7.13726806640625,-0.1486316374017561
2023-08-17,494851.57165527344,0.0,494851.57165527344,0,-4.8345184326171875,0.2888908372177754
2023-08-18,494851.57165527344,0.0,494851.57165527344,0,-6.519866943359375,-0.14027259153205163
2023-08-21,494851.57165527344,0.0,494851.57165527344,0,-7.075294494628906,-0.28047608527418644
2023-08-22,494851.57165527344,0.0,494851.57165527344,0,-5.9395294189453125,-0.036835404436727996
2023-08-23,494851.57165527344,0.0,494851.57165527344,0,-3.9391326904296875,0.5058350439809041
2023-08-24,494851.57165527344,0.0,494851.57165527344,0,-2.83367919921875,0.8609884621434614
2023-08-25,494851.57165527344,0.0,494851.57165527344,0,-4.1542816162109375,0.5993903043423634
2023-08-28,494851.57165527344,0.0,494851.57165527344,0,-2.911041259765625,0.9738672114987295
2023-08-29,494851.57165527344,0.0,494851.57165527344,0,-1.1422576904296875,1.4775498898606723
2023-08-30,494801.57165527344,-0.0,494801.57165527344,-1,-7.62939453125e-05,1.7631501079406324
2023-08-31,494801.57165527344,132585.14404296875,627386.7156982422,-1,-2.6517791748046875,1.0783369569867665
2023-09-01,494801.57165527344,163433.07495117188,658234.6466064453,-1,-3.26873779296875,0.825252020414097
2023-09-05,494801.57165527344,115466.30859375,610267.8802490234,-1,-2.3094024658203125,1.0278609117471351
2023-09-06,494801.57165527344,85076.14135742188,579877.7130126953,-1,-1.70159912109375,1.1067868333597657
2023-09-07,494801.57165527344,169815.0634765625,664616.6351318359,-1,-3.3963775634765625,0.4938649449479087
2023-09-08,494801.57165527344,133147.43041992188,627949.0020751953,-1,-2.66302490234375,0.6605348118489085
2023-09-11,494801.57165527344,349809.26513671875,844610.8367919922,-1,-6.9962615966796875,-0.9776471040069374
2023-09-12,494801.57165527344,334838.8671875,829640.4388427734,-1,-6.6968536376953125,-1.0378463632919963
2023-09-13,494801.57165527344,447747.0397949219,942548.6114501953,-1,-8.95501708984375,-1.961911826417724
2023-09-14,494801.57165527344,372161.1022949219,866962.6739501953,-1,-7.44329833984375,-1.3132038343817443
2023-09-15,685204.1473388672,0.0,685204.1473388672,0,-3.8091278076171875,0.17037385722578133
2023-09-18,685204.1473388672,0.0,685204.1473388672,0,-2.59393310546875,0.6018868047960167
2023-09-19,685204.1473388672,0.0,685204.1473388672,0,-0.4129486083984375,1.3699864829122326
2023-09-20,685204.1473388672,0.0,685204.1473388672,0,-2.3472747802734375,0.4954458211354775
2023-09-21,685204.1473388672,0.0,685204.1473388672,0,0.3323822021484375,1.4532203000101793
2023-09-22,685204.1473388672,0.0,685204.1473388672,0,0.3535003662109375,1.3289971416905768
2023-09-25,685204.1473388672,0.0,685204.1473388672,0,-0.9416351318359375,0.7654315163399369
2023-09-26,685154.1473388672,-0.0,685154.1473388672,-1,1.8235244750976562,1.5910938037621423
2023-09-27,685154.1473388672,-97912.59765625,587241.5496826172,-1,3.7817764282226562,1.9584705083217344
2023-09-28,685154.1473388672,-185884.09423828125,499270.05310058594,-1,5.541206359863281,2.13062725612591
2023-09-29,685154.1473388672,-56816.864013671875,628337.2833251953,-1,2.9598617553710938,1.2825063978687414
2023-10-02,685154.1473388672,-104330.06286621094,580824.0844726562,-1,3.910125732421875,1.365692447819941
2023-10-03,685154.1473388672,-254848.86169433594,430305.28564453125,-1,6.920501708984375,1.8108416467889406
2023-10-04,685154.1473388672,-280511.85607910156,404642.2912597656,-1,7.4337615966796875,1.676410018151865
2023-10-05,685154.1473388672,-324062.3474121094,361091.7999267578,-1,8.304771423339844,1.6191265691065893
2023-10-06,685154.1473388672,-348814.39208984375,336339.75524902344,-1,8.799812316894531,1.50982553285748
2023-10-09,685154.1473388672,-375563.4307861328,309590.7165527344,-1,9.334793090820312,1.4478399022566517
2023-10-10,685154.1473388672,-296670.91369628906,388483.2336425781,-1,7.7569427490234375,1.0631779613050645
2023-10-11,685154.1473388672,-302930.06896972656,382224.0783691406,-1,7.8821258544921875,1.029107828806725
2023-10-12,685154.1473388672,-199399.9481201172,485754.19921875,-1,5.8115234375,0.5347045670017521
2023-10-13,685154.1473388672,-246380.23376464844,438773.91357421875,-1,6.751129150390625,0.6827854764647563
2023-10-16,685154.1473388672,-194860.45837402344,490293.68896484375,-1,5.720733642578125,0.3419433030996526
2023-10-17,685154.1473388672,-279676.4373779297,405477.7099609375,-1,7.41705322265625,0.7310190532428029
2023-10-18,685154.1473388672,-359200.66833496094,325953.47900390625,-1,9.007537841796875,1.133277253973503
2023-10-19,685154.1473388672,-335263.44299316406,349890.7043457031,-1,8.528793334960938,0.8998610868457119
2023-10-20,685154.1473388672,-389904.40368652344,295249.74365234375,-1,9.621612548828125,1.186022436320397
2023-10-23,685154.1473388672,-365136.33728027344,320017.81005859375,-1,9.126251220703125,1.0173324130896253
2023-10-24,685154.1473388672,-379948.0438232422,305206.103515625,-1,9.4224853515625,1.1075481537600267
2023-10-25,685154.1473388672,-82381.82067871094,602772.3266601562,-1,3.471160888671875,-1.8263640950461653
2023-10-26,685154.1473388672,-7875.06103515625,677279.0863037109,-1,1.9810256958007812,-2.1657939028683937
2023-10-27,685154.1473388672,406092.83447265625,1091246.9818115234,-1,-6.298332214355469,-3.480320421663952
2023-10-30,685154.1473388672,540775.2990722656,1225929.4464111328,-1,-8.991981506347656,-2.9478861465187967
2023-10-31,685154.1473388672,578661.7279052734,1263815.8752441406,-1,-9.749710083007812,-2.4154771647946633
2023-11-01,685154.1473388672,656368.2556152344,1341522.4029541016,-1,-11.303840637207031,-2.171572204801253
2023-11-02,685154.1473388672,658178.7109375,1343332.8582763672,-1,-11.340049743652344,-1.8523102272805818
2023-11-03,685154.1473388672,604658.1268310547,1289812.2741699219,-1,-10.269638061523438,-1.5113342700803614
2023-11-06,685154.1473388672,604501.7242431641,1289655.8715820312,-1,-10.266510009765625,-1.3484369996608123
2023-11-07,685154.1473388672,717216.1102294922,1402370.2575683594,-1,-12.520797729492188,-1.4304866333732407
2023-11-08,685154.1473388672,642475.5096435547,1327629.6569824219,-1,-11.025985717773438,-1.137627521789304
2023-11-09,685154.1473388672,647997.6654052734,1333151.8127441406,-1,-11.136428833007812,-1.039261962719863
2023-11-10,685154.1473388672,679198.8372802734,1364352.9846191406,-1,-11.760452270507812,-1.0012422317605383
2023-11-13,685154.1473388672,655549.2401123047,1340703.3874511719,-1,-11.287460327148438,-0.8593190660170649
2023-11-14,685154.1473388672,740005.8746337891,1425160.0219726562,-1,-12.976593017578125,-0.9451865806822559
2023-11-15,685154.1473388672,560303.8787841797,1245458.0261230469,-1,-9.382553100585938,-0.4751526017680208
2023-11-16,1112097.3266601562,0.0,1112097.3266601562,0,-6.716339111328125,-0.08143545272771802
2023-11-17,1112097.3266601562,0.0,1112097.3266601562,0,-10.676651000976562,-0.507788099905498
2023-11-20,1112097.3266601562,0.0,1112097.3266601562,0,-10.6922607421875,-0.43697765722046367
2023-11-21,1112097.3266601562,0.0,1112097.3266601562,0,-7.7465667724609375,0.2728228187491963
2023-11-22,1112097.3266601562,0.0,1112097.3266601562,0,-9.045623779296875,0.15924192735915643
2023-11-24,1112097.3266601562,0.0,1112097.3266601562,0,-10.864883422851562,-0.3766054628155582
2023-11-27,1112097.3266601562,0.0,1112097.3266601562,0,-12.133209228515625,-1.0586330072537304
2023-11-28,1112097.3266601562,0.0,1112097.3266601562,0,-10.647918701171875,-0.04693728410184948
2023-11-29,1112097.3266601562,0.0,1112097.3266601562,0,-12.134750366210938,-0.9385771500904685
2023-11-30,1112047.3266601562,0.0,1112047.3266601562,1,-14.350082397460938,-2.0190937845436605
2023-12-01,1031696.4233398438,0.0,1031696.4233398438,0,-15.956100463867188,-2.3486059795244807
2023-12-04,1031646.4233398438,0.0,1031646.4233398438,1,-16.340652465820312,-2.08814397244336
2023-12-05,1031646.4233398438,-16513.0615234375,1015133.3618164062,1,-16.670913696289062,-1.886402779885546
2023-12-06,1031646.4233398438,53276.824951171875,1084923.2482910156,1,-15.275115966796875,-1.2497117806628106
2023-12-07,1031646.4233398438,278715.51513671875,1310361.9384765625,1,-10.766342163085938,0.3857136273652282
2023-12-08,1031646.4233398438,155295.56274414062,1186941.9860839844,1,-13.2347412109375,-0.4708441189068056
2023-12-11,1031646.4233398438,147301.48315429688,1178947.9064941406,1,-13.394622802734375,-0.4957623786820541
2023-12-12,1031646.4233398438,29531.097412109375,1061177.5207519531,1,-15.750030517578125,-1.2116921561010876
2023-12-13,1031646.4233398438,-35982.513427734375,995663.9099121094,1,-17.060302734375,-1.4941869216223214
2023-12-14,1031646.4233398438,3704.071044921875,1035350.4943847656,1,-16.266571044921875,-1.1171439085671082
2023-12-15,1031646.4233398438,-90992.73681640625,940653.6865234375,1,-18.160507202148438,-1.6058574572345334
2023-12-18,1031646.4233398438,-136946.86889648438,894699.5544433594,1,-19.07958984375,-1.667957767521603
